Probe,GeneID,Symbol,Distance,Sides,Raw.p,Pe
cg04659396,ENSG00000131437,KIF3A,221725,R9,2.0914828802158312e-33,9.99900009999e-4
cg26695784,ENSG00000259725,CTD-3032H12.1,869850,R10,2.190167777660947e-33,0.007099290070992901
cg22697216,ENSG00000156650,KAT6B,82545,L6,2.3527916352483684e-33,9.999000099990002e-5
cg18875607,ENSG00000253768,CTB-33O18.1,64570,R1,2.8315117897623258e-33,0.0016998300169983002
cg10260050,ENSG00000172425,TTC36,13518,L1,3.0153783392150385e-33,0.0014998500149985001
cg15873474,ENSG00000130699,TAF4,82525,R1,3.0553201453902e-33,9.999000099990002e-5
cg25306932,ENSG00000143443,C1orf56,107794,L8,3.436002741409232e-33,0.0027997200279972004
cg01715680,ENSG00000165943,MOAP1,74102,L8,3.5267602985511844e-33,0.0026997300269973002
cg24158160,ENSG00000178796,RIIAD1,0,R1,3.670398399477806e-33,0.0010998900109989002
cg20588193,ENSG00000278621,CTD-2033D15.3,241175,L7,4.012681249706637e-33,0.0033996600339966003
cg09747445,ENSG00000245750,DRAIC,523488,L8,4.0177296799646325e-33,0.006799320067993201
cg11759172,ENSG00000106078,COBL,0,L2,4.0177721299001484e-33,9.999000099990002e-5
cg20414015,ENSG00000153132,CLGN,402494,R6,4.344340079026566e-33,1.9998000199980003e-4
cg10685128,ENSG00000273472,RP11-102N12.3,29110,R1,4.4589499260380886e-33,0.006299370062993701
cg02711212,ENSG00000259703,LINC00593,273547,R6,4.662489137921408e-33,9.999000099990002e-5
cg12277789,ENSG00000196177,ACADSB,215942,L5,4.697254271667778e-33,0.0037996200379962005
cg04270264,ENSG00000275223,RP1-63M2.7,281890,R4,4.948149981951719e-33,4.999500049995e-4
cg07248223,ENSG00000126353,CCR7,0,R1,5.212349541567846e-33,1.9998000199980003e-4
cg27039118,ENSG00000164754,RAD21,1282258,R6,5.21245928862752e-33,2.9997000299970003e-4
cg03424058,ENSG00000136636,KCTD3,0,R1,5.5625678598956896e-33,0.0041995800419958006
cg12449813,ENSG00000259457,RP11-279F6.2,3453,R2,5.6252010442603586e-33,6.999300069993001e-4
cg26430597,ENSG00000228918,LINC01344,71502,L5,5.645409380783472e-33,9.999000099990002e-5
cg13204673,ENSG00000106541,AGR2,72384,L5,5.9360190977446356e-33,0.008799120087991202
cg26019600,ENSG00000279685,MAPT-IT1,2539,L1,6.220224822078155e-33,0.0029997000299970002
cg23336695,ENSG00000187720,THSD4,0,L6,6.4171547795671e-33,0.013298670132986702
cg09231518,ENSG00000132196,HSD17B7,34353,L1,6.50102660848302e-33,9.999000099990002e-5
cg21367256,ENSG00000196132,MYT1,0,R1,6.845027133464251e-33,9.999000099990002e-5
cg09569850,ENSG00000115902,SLC1A4,260575,R7,6.847540171301927e-33,9.999000099990002e-5
cg04409509,ENSG00000228613,AC144450.1,66854,L3,6.989248158609137e-33,8.999100089991e-4
cg10535597,ENSG00000204852,TCTN1,427534,L10,7.49863462322964e-33,0.0081991800819918
cg19673176,ENSG00000171302,CANT1,110108,L4,7.796159249473678e-33,0.0022997700229977
cg21802682,ENSG00000110092,CCND1,213350,L6,7.796159249473678e-33,9.99900009999e-4
cg17296707,ENSG00000117697,NSL1,215130,R9,8.426473531875437e-33,9.999000099990002e-5
cg21281463,ENSG00000167642,SPINT2,310913,R8,8.536754775600781e-33,9.999000099990002e-5
cg19075717,ENSG00000136444,RSAD1,107603,L9,9.347168273206353e-33,9.999000099990002e-5
cg14986386,ENSG00000152942,RAD17,38973,R5,9.469014539069654e-33,3.9996000399960006e-4
cg02981942,ENSG00000259725,CTD-3032H12.1,397091,R4,9.798620909952545e-33,0.007399260073992601
cg21862081,ENSG00000165548,TMEM63C,43848,L6,1.0367251619763308e-32,0.0018998100189981002
cg09245901,ENSG00000237115,RP1-131F15.2,71172,R9,1.0413107946100622e-32,9.999000099990002e-5
cg20247326,ENSG00000149657,LSM14B,324113,R4,1.0502297210388425e-32,9.999000099990002e-5
cg11180129,ENSG00000100596,SPTLC2,64450,L3,1.1060172336150892e-32,9.999000099990002e-5
cg13575139,ENSG00000168301,KCTD6,20863,R3,1.1060172336150892e-32,0.0028997100289971
cg15642209,ENSG00000267009,RP11-120M18.2,119257,R1,1.2107656128041424e-32,0.0022997700229977
cg01393234,ENSG00000143811,PYCR2,22496,R3,1.2916533644720959e-32,9.999000099990002e-5
cg01303222,ENSG00000099330,OCEL1,10697,L1,1.308452688068648e-32,9.999000099990002e-5
cg05034374,ENSG00000196659,TTC30B,201620,L5,1.308452688068648e-32,0.0020997900209979003
cg07236958,ENSG00000167632,TRAPPC9,117857,R2,1.3957596467333918e-32,2.9997000299970003e-4
cg02009766,ENSG00000259641,PCAT29,396142,L6,1.4959257219550786e-32,1.9998000199980003e-4
cg17493193,ENSG00000175087,PDIK1L,0,R1,1.5677376789254234e-32,9.999000099990002e-5
cg01869342,ENSG00000138780,GSTCD,214787,L5,1.629615653856245e-32,5.999400059994001e-4
cg27460531,ENSG00000226137,BAIAP2-AS1,211205,R10,1.629615653856245e-32,9.999000099990002e-5
cg25746903,ENSG00000134253,TRIM45,146068,L4,1.877973141023027e-32,9.999000099990002e-5
cg17864487,ENSG00000234949,AC104667.3,138717,L2,1.9520002549391787e-32,0.0030996900309969004
cg23100133,ENSG00000196872,KIAA1211L,0,R1,2.1361903053947216e-32,8.999100089991e-4
cg19660812,ENSG00000196166,C8orf86,231266,L7,2.1540631413576855e-32,7.999200079992001e-4
cg13069920,ENSG00000184007,PTP4A2,25681,R2,2.220318208292467e-32,6.999300069993001e-4
cg12635790,ENSG00000175895,PLEKHF2,33216,R1,2.367902848338609e-32,0.0032996700329967
cg25429672,ENSG00000175567,UCP2,0,R2,2.557911636009409e-32,9.999000099990002e-5
cg25338972,ENSG00000120262,CCDC170,68849,L1,2.591019644360792e-32,0.0066993300669933005
cg11415739,ENSG00000153363,LINC00467,47253,R2,3.0231045823130175e-32,0.0015998400159984002
cg23101551,ENSG00000127337,YEATS4,351777,R10,3.0231045823130175e-32,9.999000099990002e-5
cg21608605,ENSG00000146476,ARMT1,337021,L2,3.0621872771916686e-32,0.015298470152984701
cg17588713,ENSG00000149657,LSM14B,219698,R4,3.141863977074682e-32,9.999000099990002e-5
cg01727408,ENSG00000131149,GSE1,0,L5,3.223598772774527e-32,3.9996000399960006e-4
cg11261691,ENSG00000101350,KIF3B,0,R1,3.2652543943460466e-32,9.999000099990002e-5
cg05662664,ENSG00000188542,DUSP28,389188,R7,3.3074105074262254e-32,2.9997000299970003e-4
cg05492975,ENSG00000149657,LSM14B,578007,R6,3.393455064283378e-32,9.999000099990002e-5
cg03632245,ENSG00000164331,ANKRA2,257239,R10,3.437289530458564e-32,0.0033996600339966003
cg03223949,ENSG00000149657,LSM14B,299600,R4,3.6650387616906394e-32,9.999000099990002e-5
cg20672549,ENSG00000139531,SUOX,31718,L3,3.6650387616906394e-32,0.0010998900109989002
cg23093870,ENSG00000259457,RP11-279F6.2,3208,R2,3.887598398369369e-32,8.999100089991e-4
cg09147400,ENSG00000102910,LONP2,8386,R2,4.009264561047636e-32,9.999000099990002e-5
cg10227678,ENSG00000176842,IRX5,868432,R8,4.166443111106729e-32,0.008599140085991401
cg15425061,ENSG00000115109,EPB41L5,99655,L10,4.4993859529949043e-32,6.999300069993001e-4
cg23019936,ENSG00000084444,FAM234B,607810,L10,4.8587302250862023e-32,0.005599440055994401
cg25706683,ENSG00000227965,AC098592.6,417666,L5,5.076824217617326e-32,0.0016998300169983002
cg10028983,ENSG00000132749,TESMIN,300829,R6,5.113979746917203e-32,0.0082991700829917
cg02930348,ENSG00000149657,LSM14B,728576,R7,5.179845313564502e-32,9.999000099990002e-5
cg00484803,ENSG00000115159,GPD2,95501,R3,5.314113709024145e-32,9.999000099990002e-5
cg24351427,ENSG00000157181,C1orf27,674859,R6,5.314113709024145e-32,3.9996000399960006e-4
cg10970143,ENSG00000213085,CFAP45,0,R2,5.451837057314411e-32,9.999000099990002e-5
cg01361263,ENSG00000136068,FLNB,0,R1,5.522021826259281e-32,9.999000099990002e-5
cg21723861,ENSG00000171345,KRT19,2067,L1,5.738003798363441e-32,1.9998000199980003e-4
cg00732656,ENSG00000198843,SELENOT,111581,L5,5.811845421956351e-32,9.999000099990002e-5
cg13181695,ENSG00000230118,AC092569.2,778127,L8,6.248030503891458e-32,9.999000099990002e-5
cg05977696,ENSG00000162989,KCNJ3,885480,R7,6.501597923526213e-32,4.999500049995e-4
cg03487983,ENSG00000100564,PIGH,319169,R10,6.60417240191886e-32,5.999400059994001e-4
cg14659678,ENSG00000257261,RP11-96H19.1,534095,R9,6.775060644895144e-32,1.9998000199980003e-4
cg25898520,ENSG00000179387,ELMOD2,371153,L10,6.862143867743692e-32,0.0027997200279972004
cg27627493,ENSG00000259248,USP3-AS1,69084,R3,7.130117268064948e-32,9.999000099990002e-5
cg14517502,ENSG00000149657,LSM14B,873524,R9,7.221730485254182e-32,9.999000099990002e-5
cg19171161,ENSG00000262772,LINC01977,2156,L1,7.597322492813955e-32,1.9998000199980003e-4
cg09263647,ENSG00000129518,EAPP,293023,R4,7.600018013451927e-32,4.999500049995e-4
cg10006042,ENSG00000168434,COG7,357391,R7,7.896584857329215e-32,0.014298570142985701
cg08070476,ENSG00000227965,AC098592.6,40831,R4,8.251735785601503e-32,0.0016998300169983002
cg10071275,ENSG00000196132,MYT1,0,R1,8.411836861864222e-32,1.9998000199980003e-4
cg10797850,ENSG00000179627,ZBTB42,53320,R6,8.856986498605427e-32,0.006199380061993801
cg10988075,ENSG00000135111,TBX3,629136,L8,8.856986498605427e-32,4.999500049995e-4
cg21157873,ENSG00000143367,TUFT1,26292,R4,9.320235334378878e-32,1.9998000199980003e-4
cg25100011,ENSG00000162522,KIAA1522,60759,R5,9.560801116643729e-32,9.999000099990002e-5
cg22990388,ENSG00000163694,RBM47,71364,L1,9.683385607274899e-32,0.007699230076992301
cg16392797,ENSG00000205913,SRRM2-AS1,0,R1,1.0320110159040445e-31,0.0030996900309969004
cg22367981,ENSG00000116918,TSNAX,261777,L2,1.0320110159040445e-31,4.999500049995e-4
cg00836101,ENSG00000259447,RP11-462P6.1,273264,L3,1.0486793151074842e-31,9.999000099990002e-5
cg08884395,ENSG00000233823,RP3-443C4.2,6522,R3,1.1276226200448768e-31,0.013798620137986202
cg24020826,ENSG00000167632,TRAPPC9,112404,R2,1.1426397788193973e-31,2.9997000299970003e-4
cg02866152,ENSG00000196132,MYT1,0,R1,1.1856610151395983e-31,1.9998000199980003e-4
cg11026867,ENSG00000111319,SCNN1A,0,R1,1.2022912156110503e-31,6.999300069993001e-4
cg26871347,ENSG00000279555,RP11-426D19.1,14348,L1,1.2741118929664901e-31,9.999000099990002e-5
cg11237362,ENSG00000117528,ABCD3,0,R1,1.3142129443747655e-31,9.999000099990002e-5
cg13069920,ENSG00000121753,ADGRB2,115844,L5,1.3142129443747655e-31,0.0011998800119988001
cg19106893,ENSG00000088727,KIF9,100256,L5,1.3142129443747655e-31,1.9998000199980003e-4
cg25141642,ENSG00000196372,ASB13,99002,L2,1.331024371679465e-31,2.9997000299970003e-4
cg05034374,ENSG00000197557,TTC30A,135668,L3,1.3827503190163709e-31,0.0012998700129987
cg17740401,ENSG00000167183,PRR15L,75581,L3,1.5306485532225915e-31,6.999300069993001e-4
cg11237362,ENSG00000226835,RP11-148B18.1,87783,L4,1.5473863196497847e-31,0.0037996200379962005
cg16508627,ENSG00000168434,COG7,473211,R9,1.610382997263235e-31,0.014998500149985002
cg04386642,ENSG00000130699,TAF4,933569,R8,1.6517829548679763e-31,9.999000099990002e-5
cg19660812,ENSG00000253361,RP11-675F6.3,207248,L6,1.6778531287888143e-31,3.9996000399960006e-4
cg09619309,ENSG00000076554,TPD52,0,L2,1.7377788359372265e-31,0.0013998600139986002
cg19377326,ENSG00000084628,NKAIN1,166527,R6,1.7377788359372265e-31,0.0029997000299970002
cg19649172,ENSG00000148814,LRRC27,305843,L7,1.8282177262482997e-31,1.9998000199980003e-4
cg09006292,ENSG00000188817,SNTN,384711,L10,1.901154197287744e-31,6.999300069993001e-4
cg03323953,ENSG00000185630,PBX1,0,R1,2.1017350750765906e-31,0.0018998100189981002
cg10371483,ENSG00000162104,ADCY9,0,L2,2.1831369356739476e-31,2.9997000299970003e-4
cg26430597,ENSG00000135821,GLUL,0,R1,2.1831369356739476e-31,1.9998000199980003e-4
cg12297970,ENSG00000012660,ELOVL5,0,L3,2.2391358639106565e-31,4.999500049995e-4
cg02983911,ENSG00000149633,KIAA1755,43222,L1,2.3554468000075883e-31,7.999200079992001e-4
cg03424058,ENSG00000162814,SPATA17,2012800,R10,2.5093021578481704e-31,0.0136986301369863
cg01869342,ENSG00000250740,RP11-710F7.2,129793,L2,2.6549545072284004e-31,0.0022997700229977
cg15328703,ENSG00000184992,BRI3BP,627118,L9,2.6731291773965875e-31,5.999400059994001e-4
cg01393234,ENSG00000143742,SRP9,106912,L5,2.7415943224148703e-31,1.9998000199980003e-4
cg03139423,ENSG00000156564,LRFN2,676101,R10,2.8968769683982386e-31,0.001999800019998
cg04183602,ENSG00000149657,LSM14B,836509,R9,2.9204678833123163e-31,9.999000099990002e-5
cg25383323,ENSG00000196177,ACADSB,216002,L5,2.9204678833123163e-31,0.0051994800519948
cg19091779,ENSG00000013588,GPRC5A,129217,L8,2.957609021373074e-31,9.999000099990002e-5
cg16218705,ENSG00000153132,CLGN,368576,R6,2.995219006621167e-31,8.999100089991e-4
cg00653455,ENSG00000271976,RP11-884K10.7,18471,R1,3.033303712721852e-31,9.999000099990002e-5
cg08028974,ENSG00000198589,LRBA,181360,R3,3.231058796102214e-31,0.0033996600339966003
cg07598021,ENSG00000145882,PCYOX1L,9368,R3,3.2721193267967713e-31,9.999000099990002e-5
cg04067249,ENSG00000012660,ELOVL5,116121,L10,3.3136977896326845e-31,4.999500049995e-4
cg01985482,ENSG00000090661,CERS4,49068,L3,3.4416060109222057e-31,0.0015998400159984002
cg06611115,ENSG00000155906,RMND1,237883,L4,3.855480730053285e-31,3.9996000399960006e-4
cg25893560,ENSG00000134909,ARHGAP32,124831,R7,3.953960982472898e-31,9.999000099990002e-5
cg25338972,ENSG00000207422,RNU6-813P,74163,R1,4.0392059763891215e-31,0.006299370062993701
cg00165078,ENSG00000117528,ABCD3,84877,R2,4.054937775564121e-31,9.999000099990002e-5
cg16798825,ENSG00000111319,SCNN1A,81971,R6,4.211221786008469e-31,8.999100089991e-4
cg20035127,ENSG00000272518,RP11-26J3.3,49221,R4,4.264591612870721e-31,9.999000099990002e-5
cg00149684,ENSG00000169242,EFNA1,2559,R1,4.485090140642794e-31,9.999000099990002e-5
cg14685146,ENSG00000161653,NAGS,2319,L1,4.541949146187499e-31,9.999000099990002e-5
cg12449813,ENSG00000259703,LINC00593,273963,R6,4.796818122714391e-31,1.9998000199980003e-4
cg17234201,ENSG00000145217,SLC26A1,189262,R7,5.023342032978055e-31,1.9998000199980003e-4
cg19263868,ENSG00000187164,SHTN1,0,R2,5.023342032978055e-31,7.999200079992001e-4
cg19313373,ENSG00000132196,HSD17B7,66306,R4,5.023342032978055e-31,9.999000099990002e-5
cg14165142,ENSG00000101224,CDC25B,0,R1,5.08697119961402e-31,9.999000099990002e-5
cg20745419,ENSG00000143367,TUFT1,140357,L9,5.21663938927381e-31,1.9998000199980003e-4
cg02661728,ENSG00000227965,AC098592.6,89816,L2,5.254750183822029e-31,0.0022997700229977
cg14986386,ENSG00000134058,CDK7,52887,L3,5.3495878769571e-31,3.9996000399960006e-4
cg07459248,ENSG00000171302,CANT1,188058,L6,5.485899005374843e-31,0.0037996200379962005
cg10487221,ENSG00000149657,LSM14B,577964,R6,5.6256571678886295e-31,9.999000099990002e-5
cg14324800,ENSG00000124243,BCAS4,66246,R5,5.6256571678886295e-31,0.006299370062993701
cg25979244,ENSG00000116918,TSNAX,289444,L2,5.6256571678886295e-31,4.999500049995e-4
cg05887821,ENSG00000148814,LRRC27,307371,L7,5.768948859166033e-31,1.9998000199980003e-4
cg11756387,ENSG00000228634,RP4-534N18.2,1667,L1,5.884585551324685e-31,9.999000099990002e-5
cg12633764,ENSG00000256762,STH,97858,R3,5.894877914479825e-31,9.999000099990002e-5
cg11245053,ENSG00000278385,RP11-89H19.2,116300,L5,5.990647374475131e-31,0.010698930106989302
cg27605858,ENSG00000125967,NECAB3,210224,R3,6.45991816582449e-31,0.013898610138986101
cg22255095,ENSG00000130699,TAF4,56192,R1,6.5415912987310135e-31,9.999000099990002e-5
cg04398547,ENSG00000162482,AKR7A3,189523,R6,6.624289297987134e-31,0.006199380061993801
cg16363238,ENSG00000203711,C6orf99,286879,L9,6.792811101111817e-31,7.999200079992001e-4
cg12449813,ENSG00000259641,PCAT29,30858,R3,6.94065018828134e-31,4.999500049995e-4
cg23104439,ENSG00000125378,BMP4,3672,R2,7.0536045178230445e-31,9.999000099990002e-5
cg08897422,ENSG00000003147,ICA1,364584,L4,7.142725303250591e-31,0.0010998900109989002
cg16325421,ENSG00000149657,LSM14B,227434,R4,7.142725303250591e-31,9.999000099990002e-5
cg16929955,ENSG00000171302,CANT1,369511,L6,7.142725303250591e-31,0.0038996100389961006
cg01393234,ENSG00000163041,H3F3A,164470,R9,7.510524173747186e-31,3.9996000399960006e-4
cg20624941,ENSG00000184992,BRI3BP,295366,L9,7.605373656258817e-31,5.999400059994001e-4
cg01372939,ENSG00000033011,ALG1,146037,L8,7.701411992113811e-31,0.0012998700129987
cg08041603,ENSG00000188997,KCTD21,194012,L2,7.701411992113811e-31,9.999000099990002e-5
cg09402314,ENSG00000187535,IFT140,6085,L1,7.798653968194683e-31,0.004899510048995101
cg10141942,ENSG00000280327,LA16c-313F4.1,24109,L2,7.798653968194683e-31,9.999000099990002e-5
cg10459087,ENSG00000163694,RBM47,0,L4,7.89711455385865e-31,0.008599140085991401
cg02512867,ENSG00000188725,SMIM15,6586,L1,8.199960446139646e-31,6.999300069993001e-4
cg11618057,ENSG00000149657,LSM14B,228400,R4,8.199960446139646e-31,9.999000099990002e-5
cg15543523,ENSG00000155906,RMND1,354495,L4,8.40823361039228e-31,4.999500049995e-4
cg03987648,ENSG00000153132,CLGN,350836,R6,8.621756512132665e-31,9.99900009999e-4
cg23596826,ENSG00000107929,LARP4B,273593,R5,9.179401031050792e-31,9.999000099990002e-5
cg04303500,ENSG00000130699,TAF4,926511,R8,9.6511728034042e-31,9.999000099990002e-5
cg27515052,ENSG00000173295,FAM86B3P,410728,L9,9.834129370411521e-31,9.999000099990002e-5
cg16279861,ENSG00000134909,ARHGAP32,303641,R9,1.0020723531048934e-30,9.999000099990002e-5
cg02752529,ENSG00000235049,LINC00940,353790,R10,1.0153653521863298e-30,0.005499450054994501
cg02815102,ENSG00000130699,TAF4,139620,R1,1.0274859014644554e-30,9.999000099990002e-5
cg00653455,ENSG00000271916,RP11-884K10.6,82028,L3,1.0594474076131585e-30,8.999100089991e-4
cg13345122,ENSG00000172292,CERS6,399485,R5,1.10762839265345e-30,0.0030996900309969004
cg12094965,ENSG00000151148,UBE3B,165562,R5,1.1644729760192909e-30,1.9998000199980003e-4
cg06698399,ENSG00000149657,LSM14B,389069,R5,1.1939717196329918e-30,9.999000099990002e-5
cg25338972,ENSG00000155906,RMND1,237861,L4,1.2089980291026319e-30,4.999500049995e-4
cg11302401,ENSG00000261211,RP1-80N2.3,4980,L2,1.2552123670955997e-30,9.999000099990002e-5
cg14372792,ENSG00000185442,FAM174B,0,L3,1.2710034653590088e-30,0.006299370062993701
cg22830091,ENSG00000227038,GTF2IP7,223587,L6,1.2824454647909213e-30,0.0036996300369963003
cg17814028,ENSG00000149657,LSM14B,353215,R4,1.286991720174136e-30,9.999000099990002e-5
cg14986386,ENSG00000273841,TAF9,34423,R4,1.4222948950986644e-30,9.999000099990002e-5
cg15543523,ENSG00000207422,RNU6-813P,190797,R1,1.4860705837658251e-30,0.0066993300669933005
cg11318342,ENSG00000146476,ARMT1,798157,L4,1.8255026744536822e-30,0.017798220177982202
cg18237739,ENSG00000237233,TMEM26-AS1,44669,R2,1.9035655789902322e-30,9.999000099990002e-5
cg09359006,ENSG00000230454,U73166.2,7812,L2,2.0168928849629077e-30,8.999100089991e-4
cg10297792,ENSG00000135111,TBX3,7476,L1,2.0421756713969234e-30,7.999200079992001e-4
cg05266624,ENSG00000253414,RP11-150O12.6,29957,L1,2.080489989177562e-30,9.999000099990002e-5
cg08825075,ENSG00000188827,SLX4,273109,L6,2.1733857552510222e-30,9.999000099990002e-5
cg20035127,ENSG00000076554,TPD52,127501,R6,2.2843501147337658e-30,0.0025997400259974
cg20929387,ENSG00000173011,TADA2B,714830,L5,2.2843501147337658e-30,0.0023997600239976003
cg17679980,ENSG00000183161,FANCF,47972,L1,2.4009350364240765e-30,0.0010998900109989002
cg05346963,ENSG00000138764,CCNG2,185530,R5,2.461422912799512e-30,9.999000099990002e-5
cg12665414,ENSG00000253959,LINC01863,233557,L4,2.5122529634896307e-30,0.0065993400659934
cg01362358,ENSG00000068097,HEATR6,3193,R2,2.5550016349417497e-30,9.999000099990002e-5
cg17073891,ENSG00000170965,PLAC1,0,L4,2.6664771617996444e-30,3.9996000399960006e-4
cg12828073,ENSG00000196421,LINC00176,124372,L9,3.0785294287270795e-30,9.999000099990002e-5
cg02150820,ENSG00000171302,CANT1,384095,L6,3.0785589631834843e-30,0.004399560043995601
cg27519145,ENSG00000143183,TMCO1,242642,L8,3.19539867084015e-30,2.9997000299970003e-4
cg03228065,ENSG00000259780,RP11-304L19.12,8918,R2,3.233127217495783e-30,9.999000099990002e-5
cg03706175,ENSG00000119888,EPCAM,0,L2,3.235314925583487e-30,3.9996000399960006e-4
cg24556382,ENSG00000109586,GALNT7,0,R2,3.235314925583487e-30,0.005099490050994901
cg15313956,ENSG00000260810,CTD-2547L24.4,19097,L1,3.2943188732586e-30,0.0014998500149985001
cg00732656,ENSG00000260234,RP11-166N6.3,140968,R5,3.4457559577336696e-30,9.999000099990002e-5
cg04240491,ENSG00000278908,RP11-523J2.1,73003,R2,3.447618931453307e-30,9.99900009999e-4
cg12349181,ENSG00000226137,BAIAP2-AS1,48364,L1,3.485418920570818e-30,9.999000099990002e-5
cg02677035,ENSG00000134909,ARHGAP32,242859,R6,3.528929219705574e-30,1.9998000199980003e-4
cg18699337,ENSG00000264589,MAPT-AS1,186147,L9,3.663454404216793e-30,0.0025997400259974
cg07156336,ENSG00000114656,KIAA1257,127057,R10,3.70839150960375e-30,3.9996000399960006e-4
cg04409509,ENSG00000203635,AC144450.2,61548,L1,3.848716011551318e-30,9.99900009999e-4
cg12352399,ENSG00000151093,OXSM,134632,R5,3.945588694524745e-30,9.999000099990002e-5
cg18875607,ENSG00000254164,CTB-33O18.2,77030,R2,3.9662998678018864e-30,0.0012998700129987
cg26406150,ENSG00000223776,LGALS8-AS1,214843,L4,3.994758740941958e-30,0.006099390060993901
cg12635790,ENSG00000156170,NDUFAF6,0,L7,4.146105512155047e-30,3.9996000399960006e-4
cg22416376,ENSG00000279271,RP11-349F21.3,38523,L4,4.320126581466098e-30,9.999000099990002e-5
cg10141942,ENSG00000187535,IFT140,0,L7,4.521637915601444e-30,0.005699430056994301
cg04687409,ENSG00000168434,COG7,549903,R9,4.5779716835041536e-30,0.021097890210978902
cg25932315,ENSG00000204049,RP11-126H7.4,435788,R9,4.7730964688081124e-30,0.0018998100189981002
cg21386863,ENSG00000150556,LYPD6B,905245,L9,4.8103570662993e-30,3.9996000399960006e-4
cg25209132,ENSG00000149657,LSM14B,728102,R7,4.9309021017347415e-30,9.999000099990002e-5
cg27327508,ENSG00000145723,GIN1,71068,R3,5.2455396570919096e-30,0.006899310068993101
cg00930618,ENSG00000275763,C18orf65,118654,R5,5.683984578240422e-30,9.999000099990002e-5
cg19755714,ENSG00000153130,SCOC,335536,R2,5.790897693979756e-30,9.999000099990002e-5
cg11152263,ENSG00000164818,DNAAF5,196694,R4,6.471907554084397e-30,1.9998000199980003e-4
cg15481472,ENSG00000203711,C6orf99,65304,R6,6.471907554084397e-30,8.999100089991e-4
cg16774479,ENSG00000134759,ELP2,179944,R6,6.883991925789833e-30,0.003999600039996
cg23367119,ENSG00000119661,DNAL1,59977,L6,6.883991925789833e-30,0.0096990300969903
cg01534808,ENSG00000134909,ARHGAP32,256227,R6,7.056023582853468e-30,1.9998000199980003e-4
cg08936501,ENSG00000134253,TRIM45,57442,L2,7.056023582853468e-30,9.999000099990002e-5
cg09560658,ENSG00000138780,GSTCD,200626,L5,7.056023582853468e-30,0.0016998300169983002
cg25199005,ENSG00000226876,RP11-36N20.1,169131,L3,7.25584268614827e-30,9.999000099990002e-5
cg03214622,ENSG00000171302,CANT1,109683,L4,7.412987792990216e-30,0.0051994800519948
cg01819142,ENSG00000167632,TRAPPC9,1678277,R10,7.504993722985117e-30,4.999500049995e-4
cg04013650,ENSG00000167904,TMEM68,1137307,R8,8.081313992812677e-30,9.999000099990002e-5
cg17228698,ENSG00000106003,LFNG,100248,R3,8.081313992812677e-30,9.99900009999e-4
cg19532959,ENSG00000111490,TBC1D30,243242,L7,8.38573171155837e-30,2.9997000299970003e-4
cg13401658,ENSG00000224577,LINC01117,191409,R5,8.535406386796766e-30,0.0016998300169983002
cg23415916,ENSG00000039139,DNAH5,233816,L1,8.70152525912355e-30,0.0012998700129987
cg09958065,ENSG00000165609,NUDT5,410382,L8,9.02911627404168e-30,1.9998000199980003e-4
cg13186567,ENSG00000235049,LINC00940,287009,R8,9.029995663882013e-30,0.007099290070992901
cg15221532,ENSG00000173838,MARCH10,0,R5,9.116377524487868e-30,9.999000099990002e-5
cg25628461,ENSG00000185619,PCGF3,12512,R1,9.36894189215585e-30,9.999000099990002e-5
cg10864979,ENSG00000207110,RNU1-106P,132234,R4,9.479827927382558e-30,9.999000099990002e-5
cg08942191,ENSG00000172379,ARNT2,0,R1,9.485013755584082e-30,9.999000099990002e-5
cg22864500,ENSG00000171174,RBKS,377980,L6,9.485013755584082e-30,4.999500049995e-4
cg11524400,ENSG00000244242,IFITM10,6702,L1,1.0212024334047414e-29,9.999000099990002e-5
cg26010756,ENSG00000234115,RP11-288G3.4,212995,L5,1.0557121455959221e-29,0.005099490050994901
cg21202178,ENSG00000235529,AGAP1-IT1,36796,R2,1.0584037650405191e-29,9.999000099990002e-5
cg12211557,ENSG00000171174,RBKS,57363,R2,1.0595999708404975e-29,4.999500049995e-4
cg03892838,ENSG00000124839,RAB17,89476,L3,1.1548558003801236e-29,0.0081991800819918
cg06881965,ENSG00000175985,PLEKHD1,351400,R10,1.183599744346479e-29,0.008099190080991902
cg25998745,ENSG00000169398,PTK2,16309,L1,1.3219856489125648e-29,9.999000099990002e-5
cg03340408,ENSG00000198700,IPO9,141959,R6,1.3383200089768128e-29,9.999000099990002e-5
cg17977723,ENSG00000272398,CD24,220146,R2,1.4056844010201506e-29,9.999000099990002e-5
cg21367256,ENSG00000196421,LINC00176,124342,L9,1.423031301196137e-29,9.999000099990002e-5
cg11245053,ENSG00000134291,TMEM106C,54287,L3,1.4406175865703516e-29,1.9998000199980003e-4
cg10451565,ENSG00000105402,NAPA,150761,R7,1.494638764229125e-29,0.0012998700129987
cg15543523,ENSG00000120262,CCDC170,185483,L1,1.5317647147453085e-29,0.0110988901109889
cg23336695,ENSG00000225362,CT62,396902,L5,1.5883061686589503e-29,0.013598640135986401
cg02979703,ENSG00000254290,RP11-150O12.3,101481,L5,1.610191307924187e-29,0.009999000099990002
cg13752545,ENSG00000237487,VN1R48P,433207,R9,1.685455409341088e-29,4.999500049995e-4
cg21608605,ENSG00000233823,RP3-443C4.2,6151,R3,1.6892031924624068e-29,0.0182981701829817
